Address,Airdrop_Amount,Explorer_Link,Status
0xf7dcc97e4158c756345b7202025648d5ac11cdf4,9.425,https://basescan.org/tx/0x4f1a4227357d0bbe3200dd4b977d32b51894301a1dbe1b96033f5a726354b4f1,success
0x4d22f5409d0f7ea11b23d7ef8734ba95481fa2e2,6.15,https://basescan.org/tx/0x39dfb481c239a75d4007c6334a22f145aad3186148a98a684a15252ceadd3c4e,success
0xe9f30beab4059cd1d130d700688344381bc92f26,2.342,https://basescan.org/tx/0x239bc12c30bdab23c032e22cf3150448f4ad8391c35e446af2b26e252d097cd2,success
0x0cb6c036b411b30a04424a35aa3ab83602ab4633,0.75,https://basescan.org/tx/0x24191f9da1f802b2af16d6f496810727efd7b79a12d2c8ead80cbecdcf78de68,success
0x3f3bcee79d75d3580af8564ec2b9ea3cb68daf38,0.395,https://basescan.org/tx/0x1da7060aa5e2ee5155de840e1a5adf8b0bb57b722fbf9b6fd7e9098bf4e3da52,success
0x2e6ef714225ae97647305fe6e3d23adebf95161f,0.363,https://basescan.org/tx/0x1a7ca64df2a0537ddf9aa02fcc189727ed23b94d36740fd01714b96ac09f71c2,success
0x315963e514d6c7d86538607919d02b76b053df64,0.319,https://basescan.org/tx/0xa9184900fdce454e9893a11ccab5eb0099b5106e75e44497e9e43e85ad51d655,success
0x3462ff5e096e30f69a5b1e9e3c6a3107e8bf2309,0.301,https://basescan.org/tx/0x1a7391c23b05ea615c313b31451879b8d14ab03bb40950beb5a9c72261672908,success
0x9f270ecbb2f1291b5f85e4bd896e69d66cf4092e,0.292,https://basescan.org/tx/0xaeafb13e86a2eda488c3826f082ee29e652a96fa8f0db33954daf2601bb20e91,success
0x61e3cef3bc04e141ea2a03a62cd9293d16c82344,0.25,https://basescan.org/tx/0xc2e17a47527c9f7447c747a882e9f2f1f3c25cdf2d252201c681d7cb2be1c9c3,success
0x956900132b5ee2282aa65ce4fa2120ea533dc6c9,0.13,https://basescan.org/tx/0xcb386725315314933de630694069dc101a2de7b4072b9e96a8a667a09c6e2f17,success
0xb1cc956a6c6d5b2a695440f2488e80ddcf227d78,0.108,https://basescan.org/tx/0x007ebe51d0a21e3d59c2a064c0c7b4eff6b78d7bf5da3ff1b507c85a42cb5fca,success
0x607c77eadb523bbdd3249b87697626fa18ab0cac,0.101,https://basescan.org/tx/0x39c26628cdf9a182bba5be54b2e73970ed68f79489628837af7b39bfb8cc6b01,success
0x3a425268663003c3f23c70ea9ce5730f3ef60f29,0.065,https://basescan.org/tx/0x1fb6d48c6222d3772ee11fdaedb00f90111964c1ab295bd418c2dc1a03a9b1ac,success
0xd32820e093df01d8c2643b6a5b187b8c2b8644bc,0.037,https://basescan.org/tx/0x39b7ec22235f202c536d47507a8b6e022a508152a12d4e59bd37b59e8b13819d,success
0x2f024b3eccfe52150e55a147ff4b3fc8640871b5,0.023,https://basescan.org/tx/0x703d65cbe996a543028b69e0107d28bc6d177dedacbedd0c727f1720910ff720,success
